x,y,p,phi_on_grid
0.0333333,0.233333,1.89191,1.89185
0.0333333,0.238889,1.88696,1.8869
0.0333333,0.244444,1.8819,1.88184
0.0333333,0.25,1.87675,1.87669
0.0333333,0.255556,1.87149,1.87143
0.0333333,0.261111,1.86613,1.86607
0.0333333,0.266667,1.86067,1.86061
0.0333333,0.272222,1.85511,1.85506
0.0333333,0.277778,1.84946,1.84941
0.0333333,0.283333,1.84371,1.84367
0.0333333,0.288889,1.83787,1.83783
0.0333333,0.294444,1.83193,1.8319
0.0333333,0.3,1.82591,1.82588
0.0333333,0.305556,1.81979,1.81977
0.0333333,0.311111,1.81359,1.81357
0.0333333,0.316667,1.8073,1.80728
0.0333333,0.322222,1.80092,1.8009
0.0333333,0.327778,1.79445,1.79445
0.0333333,0.333333,1.78791,1.7879
0.0333333,0.338889,1.78128,1.78128
0.0333333,0.344444,1.77457,1.77457
0.0333333,0.35,1.76778,1.76779
0.0333333,0.355556,1.76091,1.76092
0.0333333,0.361111,1.75397,1.75398
0.0333333,0.366667,1.74695,1.74697
0.0333333,0.372222,1.73985,1.73988
0.0333333,0.377778,1.73269,1.73271
0.0333333,0.383333,1.72545,1.72548
0.0333333,0.388889,1.71815,1.71818
0.0333333,0.394444,1.71078,1.71081
0.0333333,0.4,1.70334,1.70338
0.0333333,0.405556,1.69584,1.69588
0.0333333,0.411111,1.68827,1.68832
0.0333333,0.416667,1.68064,1.6807
0.0333333,0.422222,1.67296,1.67302
0.0333333,0.427778,1.66522,1.66528
0.0333333,0.433333,1.65742,1.65748
0.0333333,0.438889,1.64957,1.64964
0.0333333,0.444444,1.64167,1.64174
0.0333333,0.45,1.63371,1.63379
0.0333333,0.455556,1.62571,1.62579
0.0333333,0.461111,1.61767,1.61774
0.0333333,0.466667,1.60957,1.60965
0.0333333,0.472222,1.60144,1.60152
0.0333333,0.477778,1.59326,1.59334
0.0333333,0.483333,1.58505,1.58513
0.0333333,0.488889,1.57679,1.57688
0.0333333,0.494444,1.56851,1.5686
0.0388889,0,1.99698,1.99698
0.0388889,0.00555556,1.99692,1.99692
0.0388889,0.0111111,1.99674,1.99673
0.0388889,0.0166667,1.99644,1.99642
0.0388889,0.0222222,1.99601,1.99599
0.0388889,0.0277778,1.99546,1.99543
0.0388889,0.0333333,1.99479,1.99476
0.0388889,0.0388889,1.99399,1.99396
0.0388889,0.0444444,1.99307,1.99303
0.0388889,0.05,1.99202,1.99198
0.0388889,0.0555556,1.99087,1.99081
0.0388889,0.0611111,1.98958,1.98952
0.0388889,0.0666667,1.98816,1.98811
0.0388889,0.0722222,1.98663,1.98657
0.0388889,0.0777778,1.98499,1.98492
0.0388889,0.0833333,1.98321,1.98314
0.0388889,0.0888889,1.98131,1.98124
0.0388889,0.0944444,1.9793,1.97922
0.0388889,0.1,1.97716,1.97708
0.0388889,0.105556,1.9749,1.97482
0.0388889,0.111111,1.97253,1.97244
0.0388889,0.116667,1.97003,1.96994
0.0388889,0.122222,1.96741,1.96732
0.0388889,0.127778,1.96467,1.96459
0.0388889,0.133333,1.96183,1.96174
0.0388889,0.138889,1.95886,1.95877
0.0388889,0.144444,1.95577,1.95568
0.0388889,0.15,1.95258,1.95248
0.0388889,0.155556,1.94925,1.94917
0.0388889,0.161111,1.94581,1.94574
0.0388889,0.166667,1.94227,1.94219
0.0388889,0.172222,1.93862,1.93854
0.0388889,0.177778,1.93485,1.93477
0.0388889,0.183333,1.93097,1.93089
0.0388889,0.188889,1.92697,1.92689
0.0388889,0.194444,1.92286,1.92279
0.0388889,0.2,1.91864,1.91858
0.0388889,0.205556,1.91431,1.91426
0.0388889,0.211111,1.90988,1.90983
0.0388889,0.216667,1.90535,1.90529
0.0388889,0.222222,1.90071,1.90065
0.0388889,0.227778,1.89597,1.8959
0.0388889,0.233333,1.89113,1.89105
0.0388889,0.238889,1.88618,1.8861
0.0388889,0.244444,1.88112,1.88104
0.0388889,0.25,1.87596,1.87588
0.0388889,0.255556,1.8707,1.87063
0.0388889,0.261111,1.86534,1.86527
