(h + 9*t)*(x+10)^16;(3*h + 6*t)*(x+10)^15;(4*h + 3*t)*(x+10)^14;(9*h + 15*t)*(x+10)^13;(4*h + 2*t)*(x+10)^12;(12*h + 7*t)*(x+10)^11;(16*h + 12*t)*(x+10)^10;(2*h + 9*t)*(x+10)^9;(16*h + 8*t)*(x+10)^8;(14*h + 11*t)*(x+10)^7;(13*h + 14*t)*(x+10)^6;(8*h + 2*t)*(x+10)^5;(13*h + 15*t)*(x+10)^4;(13*h + t)*(x+10)^3;(10*h + 12*t)*(x+10)^2;7*h*(x+10);(9*h + 5*t)
(h + 10*t)*(x+10)^16;(6*h + 16*t)*(x+10)^15;(16*h + t)*(x+10)^14;(16*h + 12*t)*(x+10)^13;(4*h + 6*t)*(x+10)^12;(7*h + 13*t)*(x+10)^11;(13*h + 4*t)*(x+10)^10;(13*h + 14*t)*(x+10)^9;(16*h + 7*t)*(x+10)^8;(11*h + t)*(x+10)^7;(h + 16*t)*(x+10)^6;(h + 5*t)*(x+10)^5;(13*h + 11*t)*(x+10)^4;(15*h + 13*t)*(x+10)^3;(8*h + 6*t)*(x+10)^2;(16*h + 11*t)*(x+10);(9*h + 14*t)
(h + 11*t)*(x+10)^16;(9*h + 9*t)*(x+10)^15;(11*h + 16*t)*(x+10)^14;(6*h + 9*t)*(x+10)^13;(4*h + 10*t)*(x+10)^12;(2*h + 2*t)*(x+10)^11;(10*h + 13*t)*(x+10)^10;(7*h + 2*t)*(x+10)^9;(16*h + 6*t)*(x+10)^8;(8*h + 8*t)*(x+10)^7;(6*h + t)*(x+10)^6;(11*h + 8*t)*(x+10)^5;(13*h + 7*t)*(x+10)^4;8*t*(x+10)^3;6*h*(x+10)^2;(8*h + 5*t)*(x+10);(9*h + 6*t)
(h + 12*t)*(x+10)^16;(12*h + 2*t)*(x+10)^15;(6*h + 14*t)*(x+10)^14;(13*h + 6*t)*(x+10)^13;(4*h + 14*t)*(x+10)^12;(14*h + 8*t)*(x+10)^11;(7*h + 5*t)*(x+10)^10;(h + 7*t)*(x+10)^9;(16*h + 5*t)*(x+10)^8;(5*h + 15*t)*(x+10)^7;(11*h + 3*t)*(x+10)^6;(4*h + 11*t)*(x+10)^5;(13*h + 3*t)*(x+10)^4;(2*h + 3*t)*(x+10)^3;(4*h + 11*t)*(x+10)^2;16*t*(x+10);(9*h + 15*t)
(h + 13*t)*(x+10)^16;(15*h + 12*t)*(x+10)^15;(h + 12*t)*(x+10)^14;(3*h + 3*t)*(x+10)^13;(4*h + t)*(x+10)^12;(9*h + 14*t)*(x+10)^11;(4*h + 14*t)*(x+10)^10;(12*h + 12*t)*(x+10)^9;(16*h + 4*t)*(x+10)^8;(2*h + 5*t)*(x+10)^7;(16*h + 5*t)*(x+10)^6;(14*h + 14*t)*(x+10)^5;(13*h + 16*t)*(x+10)^4;(4*h + 15*t)*(x+10)^3;(2*h + 5*t)*(x+10)^2;(9*h + 10*t)*(x+10);(9*h + 7*t)
(h + 14*t)*(x+10)^16;(h + 5*t)*(x+10)^15;(13*h + 10*t)*(x+10)^14;10*h*(x+10)^13;(4*h + 5*t)*(x+10)^12;(4*h + 3*t)*(x+10)^11;(h + 6*t)*(x+10)^10;6*h*(x+10)^9;(16*h + 3*t)*(x+10)^8;(16*h + 12*t)*(x+10)^7;(4*h + 7*t)*(x+10)^6;7*h*(x+10)^5;(13*h + 12*t)*(x+10)^4;(6*h + 10*t)*(x+10)^3;16*t*(x+10)^2;(h + 4*t)*(x+10);(9*h + 16*t)
(h + 15*t)*(x+10)^16;(4*h + 15*t)*(x+10)^15;(8*h + 8*t)*(x+10)^14;14*t*(x+10)^13;(4*h + 9*t)*(x+10)^12;(16*h + 9*t)*(x+10)^11;(15*h + 15*t)*(x+10)^10;5*t*(x+10)^9;(16*h + 2*t)*(x+10)^8;(13*h + 2*t)*(x+10)^7;(9*h + 9*t)*(x+10)^6;3*t*(x+10)^5;(13*h + 8*t)*(x+10)^4;(8*h + 5*t)*(x+10)^3;(15*h + 10*t)*(x+10)^2;(10*h + 15*t)*(x+10);(9*h + 8*t)
(h + 16*t)*(x+10)^16;(7*h + 8*t)*(x+10)^15;(3*h + 6*t)*(x+10)^14;(7*h + 11*t)*(x+10)^13;(4*h + 13*t)*(x+10)^12;(11*h + 15*t)*(x+10)^11;(12*h + 7*t)*(x+10)^10;(11*h + 10*t)*(x+10)^9;(16*h + t)*(x+10)^8;(10*h + 9*t)*(x+10)^7;(14*h + 11*t)*(x+10)^6;(10*h + 6*t)*(x+10)^5;(13*h + 4*t)*(x+10)^4;10*h*(x+10)^3;(13*h + 4*t)*(x+10)^2;(2*h + 9*t)*(x+10);9*h

h*(x+11)^16;(11*h + t)*(x+11)^15;(2*h + 6*t)*(x+11)^14;(5*h + 6*t)*(x+11)^13;(4*h + 9*t)*(x+11)^12;(10*h + 10*t)*(x+11)^11;(8*h + 11*t)*(x+11)^10;(3*h + 4*t)*(x+11)^9;16*h*(x+11)^8;(6*h + 16*t)*(x+11)^7;(15*h + 11*t)*(x+11)^6;(12*h + 11*t)*(x+11)^5;(13*h + 8*t)*(x+11)^4;(8*h + 6*t)*(x+11)^3;(9*h + 6*t)*(x+11)^2;10*h*(x+11);(12*h + 6*t)
t*(x+11)^16;(3*h + 11*t)*(x+11)^15;(h + 2*t)*(x+11)^14;(h + 5*t)*(x+11)^13;(10*h + 4*t)*(x+11)^12;(13*h + 10*t)*(x+11)^11;(16*h + 8*t)*(x+11)^10;(12*h + 3*t)*(x+11)^9;16*t*(x+11)^8;(14*h + 6*t)*(x+11)^7;(16*h + 15*t)*(x+11)^6;(16*h + 12*t)*(x+11)^5;(7*h + 13*t)*(x+11)^4;(h + 8*t)*(x+11)^3;(5*h + 9*t)*(x+11)^2;(9*h + 10*t)*(x+11);(12*h + 12*t)
(h + t)*(x+11)^16;(14*h + 12*t)*(x+11)^15;(3*h + 8*t)*(x+11)^14;(6*h + 11*t)*(x+11)^13;(14*h + 13*t)*(x+11)^12;(6*h + 3*t)*(x+11)^11;(7*h + 2*t)*(x+11)^10;(15*h + 7*t)*(x+11)^9;(16*h + 16*t)*(x+11)^8;(3*h + 5*t)*(x+11)^7;(14*h + 9*t)*(x+11)^6;(11*h + 6*t)*(x+11)^5;(3*h + 4*t)*(x+11)^4;(9*h + 14*t)*(x+11)^3;(14*h + 15*t)*(x+11)^2;(2*h + 10*t)*(x+11);(7*h + t)
(h + 2*t)*(x+11)^16;6*t*(x+11)^15;(4*h + 10*t)*(x+11)^14;(7*h + 16*t)*(x+11)^13;7*h*(x+11)^12;(2*h + 13*t)*(x+11)^11;(6*h + 10*t)*(x+11)^10;(10*h + 10*t)*(x+11)^9;(16*h + 15*t)*(x+11)^8;11*t*(x+11)^7;(13*h + 7*t)*(x+11)^6;(10*h + t)*(x+11)^5;10*h*(x+11)^4;(10*h + 5*t)*(x+11)^3;(2*h + 7*t)*(x+11)^2;(11*h + 3*t)*(x+11);(2*h + 13*t)
(h + 3*t)*(x+11)^16;3*h*(x+11)^15;(5*h + 12*t)*(x+11)^14;(8*h + 4*t)*(x+11)^13;4*t*(x+11)^12;(15*h + 6*t)*(x+11)^11;(5*h + t)*(x+11)^10;(5*h + 13*t)*(x+11)^9;(16*h + 14*t)*(x+11)^8;14*h*(x+11)^7;(12*h + 5*t)*(x+11)^6;(9*h + 13*t)*(x+11)^5;13*t*(x+11)^4;(11*h + 13*t)*(x+11)^3;(7*h + 16*t)*(x+11)^2;(3*h + 13*t)*(x+11);(14*h + 8*t)
(h + 4*t)*(x+11)^16;(6*h + 11*t)*(x+11)^15;(6*h + 14*t)*(x+11)^14;(9*h + 9*t)*(x+11)^13;(10*h + 8*t)*(x+11)^12;(11*h + 16*t)*(x+11)^11;(4*h + 9*t)*(x+11)^10;16*t*(x+11)^9;(16*h + 13*t)*(x+11)^8;(11*h + 6*t)*(x+11)^7;(11*h + 3*t)*(x+11)^6;(8*h + 8*t)*(x+11)^5;(7*h + 9*t)*(x+11)^4;(12*h + 4*t)*(x+11)^3;(12*h + 8*t)*(x+11)^2;(12*h + 6*t)*(x+11);(9*h + 3*t)
(h + 5*t)*(x+11)^16;(9*h + 5*t)*(x+11)^15;(7*h + 16*t)*(x+11)^14;(10*h + 14*t)*(x+11)^13;(3*h + 12*t)*(x+11)^12;(7*h + 9*t)*(x+11)^11;3*h*(x+11)^10;(12*h + 2*t)*(x+11)^9;(16*h + 12*t)*(x+11)^8;(8*h + 12*t)*(x+11)^7;(10*h + t)*(x+11)^6;(7*h + 3*t)*(x+11)^5;(14*h + 5*t)*(x+11)^4;(13*h + 12*t)*(x+11)^3;;(4*h + 16*t)*(x+11);(4*h + 15*t)
(h + 6*t)*(x+11)^16;(12*h + 16*t)*(x+11)^15;(8*h + t)*(x+11)^14;(11*h + 2*t)*(x+11)^13;(13*h + 16*t)*(x+11)^12;(3*h + 2*t)*(x+11)^11;(2*h + 8*t)*(x+11)^10;(7*h + 5*t)*(x+11)^9;(16*h + 11*t)*(x+11)^8;(5*h + t)*(x+11)^7;(9*h + 16*t)*(x+11)^6;(6*h + 15*t)*(x+11)^5;(4*h + t)*(x+11)^4;(14*h + 3*t)*(x+11)^3;(5*h + 9*t)*(x+11)^2;(13*h + 9*t)*(x+11);(16*h + 10*t)
(h + 7*t)*(x+11)^16;(15*h + 10*t)*(x+11)^15;(9*h + 3*t)*(x+11)^14;(12*h + 7*t)*(x+11)^13;(6*h + 3*t)*(x+11)^12;(16*h + 12*t)*(x+11)^11;(h + 16*t)*(x+11)^10;(2*h + 8*t)*(x+11)^9;(16*h + 10*t)*(x+11)^8;(2*h + 7*t)*(x+11)^7;(8*h + 14*t)*(x+11)^6;(5*h + 10*t)*(x+11)^5;(11*h + 14*t)*(x+11)^4;(15*h + 11*t)*(x+11)^3;(10*h + t)*(x+11)^2;(5*h + 2*t)*(x+11);(11*h + 5*t)
(h + 8*t)*(x+11)^16;(h + 4*t)*(x+11)^15;(10*h + 5*t)*(x+11)^14;(13*h + 12*t)*(x+11)^13;(16*h + 7*t)*(x+11)^12;(12*h + 5*t)*(x+11)^11;7*t*(x+11)^10;(14*h + 11*t)*(x+11)^9;(16*h + 9*t)*(x+11)^8;(16*h + 13*t)*(x+11)^7;(7*h + 12*t)*(x+11)^6;(4*h + 5*t)*(x+11)^5;(h + 10*t)*(x+11)^4;(16*h + 2*t)*(x+11)^3;(15*h + 10*t)*(x+11)^2;(14*h + 12*t)*(x+11);6*h
(h + 9*t)*(x+11)^16;(4*h + 15*t)*(x+11)^15;(11*h + 7*t)*(x+11)^14;14*h*(x+11)^13;(9*h + 11*t)*(x+11)^12;(8*h + 15*t)*(x+11)^11;(16*h + 15*t)*(x+11)^10;(9*h + 14*t)*(x+11)^9;(16*h + 8*t)*(x+11)^8;(13*h + 2*t)*(x+11)^7;(6*h + 10*t)*(x+11)^6;3*h*(x+11)^5;(8*h + 6*t)*(x+11)^4;10*t*(x+11)^3;(3*h + 2*t)*(x+11)^2;(6*h + 5*t)*(x+11);(h + 12*t)
(h + 10*t)*(x+11)^16;(7*h + 9*t)*(x+11)^15;(12*h + 9*t)*(x+11)^14;(15*h + 5*t)*(x+11)^13;(2*h + 15*t)*(x+11)^12;(4*h + 8*t)*(x+11)^11;(15*h + 6*t)*(x+11)^10;4*h*(x+11)^9;(16*h + 7*t)*(x+11)^8;(10*h + 8*t)*(x+11)^7;(5*h + 8*t)*(x+11)^6;(2*h + 12*t)*(x+11)^5;(15*h + 2*t)*(x+11)^4;(h + t)*(x+11)^3;(8*h + 11*t)*(x+11)^2;(15*h + 15*t)*(x+11);(13*h + 7*t)
(h + 11*t)*(x+11)^16;(10*h + 3*t)*(x+11)^15;(13*h + 11*t)*(x+11)^14;(16*h + 10*t)*(x+11)^13;(12*h + 2*t)*(x+11)^12;t*(x+11)^11;(14*h + 14*t)*(x+11)^10;(16*h + 3*t)*(x+11)^9;(16*h + 6*t)*(x+11)^8;(7*h + 14*t)*(x+11)^7;(4*h + 6*t)*(x+11)^6;(h + 7*t)*(x+11)^5;(5*h + 15*t)*(x+11)^4;(2*h + 9*t)*(x+11)^3;(13*h + 3*t)*(x+11)^2;(7*h + 8*t)*(x+11);(8*h + 2*t)
(h + 12*t)*(x+11)^16;(13*h + 14*t)*(x+11)^15;(14*h + 13*t)*(x+11)^14;15*t*(x+11)^13;(5*h + 6*t)*(x+11)^12;(13*h + 11*t)*(x+11)^11;(13*h + 5*t)*(x+11)^10;(11*h + 6*t)*(x+11)^9;(16*h + 5*t)*(x+11)^8;(4*h + 3*t)*(x+11)^7;(3*h + 4*t)*(x+11)^6;2*t*(x+11)^5;(12*h + 11*t)*(x+11)^4;3*h*(x+11)^3;(h + 12*t)*(x+11)^2;(16*h + t)*(x+11);(3*h + 14*t)
(h + 13*t)*(x+11)^16;(16*h + 8*t)*(x+11)^15;(15*h + 15*t)*(x+11)^14;(h + 3*t)*(x+11)^13;(15*h + 10*t)*(x+11)^12;(9*h + 4*t)*(x+11)^11;(12*h + 13*t)*(x+11)^10;(6*h + 9*t)*(x+11)^9;(16*h + 4*t)*(x+11)^8;(h + 9*t)*(x+11)^7;(2*h + 2*t)*(x+11)^6;(16*h + 14*t)*(x+11)^5;(2*h + 7*t)*(x+11)^4;(4*h + 8*t)*(x+11)^3;(6*h + 4*t)*(x+11)^2;(8*h + 11*t)*(x+11);(15*h + 9*t)
(h + 14*t)*(x+11)^16;(2*h + 2*t)*(x+11)^15;16*h*(x+11)^14;(2*h + 8*t)*(x+11)^13;(8*h + 14*t)*(x+11)^12;(5*h + 14*t)*(x+11)^11;(11*h + 4*t)*(x+11)^10;(h + 12*t)*(x+11)^9;(16*h + 3*t)*(x+11)^8;(15*h + 15*t)*(x+11)^7;h*(x+11)^6;(15*h + 9*t)*(x+11)^5;(9*h + 3*t)*(x+11)^4;(5*h + 16*t)*(x+11)^3;(11*h + 13*t)*(x+11)^2;4*t*(x+11);(10*h + 4*t)
(h + 15*t)*(x+11)^16;(5*h + 13*t)*(x+11)^15;2*t*(x+11)^14;(3*h + 13*t)*(x+11)^13;(h + t)*(x+11)^12;(h + 7*t)*(x+11)^11;(10*h + 12*t)*(x+11)^10;(13*h + 15*t)*(x+11)^9;(16*h + 2*t)*(x+11)^8;(12*h + 4*t)*(x+11)^7;15*t*(x+11)^6;(14*h + 4*t)*(x+11)^5;(16*h + 16*t)*(x+11)^4;(6*h + 7*t)*(x+11)^3;(16*h + 5*t)*(x+11)^2;(9*h + 14*t)*(x+11);(5*h + 16*t)
(h + 16*t)*(x+11)^16;(8*h + 7*t)*(x+11)^15;(h + 4*t)*(x+11)^14;(4*h + t)*(x+11)^13;(11*h + 5*t)*(x+11)^12;14*h*(x+11)^11;(9*h + 3*t)*(x+11)^10;(8*h + t)*(x+11)^9;(16*h + t)*(x+11)^8;(9*h + 10*t)*(x+11)^7;(16*h + 13*t)*(x+11)^6;(13*h + 16*t)*(x+11)^5;(6*h + 12*t)*(x+11)^4;(7*h + 15*t)*(x+11)^3;(4*h + 14*t)*(x+11)^2;(h + 7*t)*(x+11);11*t

h*(x+12)^16;(12*h + t)*(x+12)^15;(8*h + 8*t)*(x+12)^14;(11*h + 10*t)*(x+12)^13;(13*h + 5*t)*(x+12)^12;(3*h + 10*t)*(x+12)^11;(2*h + 14*t)*(x+12)^10;(7*h + 14*t)*(x+12)^9;(16*h + 2*t)*(x+12)^8;(5*h + 8*t)*(x+12)^7;(9*h + 7*t)*(x+12)^6;(6*h + 15*t)*(x+12)^5;(4*h + 14*t)*(x+12)^4;(15*h + 15*t)*(x+12)^3;(12*h + 4*t)*(x+12)^2;(9*h + 12*t)*(x+12);(15*h + 3*t)
t*(x+12)^16;(3*h + 12*t)*(x+12)^15;(7*h + 8*t)*(x+12)^14;(13*h + 11*t)*(x+12)^13;(15*h + 13*t)*(x+12)^12;(13*h + 3*t)*(x+12)^11;(8*h + 2*t)*(x+12)^10;(8*h + 7*t)*(x+12)^9;(6*h + 16*t)*(x+12)^8;(7*h + 5*t)*(x+12)^7;(4*h + 9*t)*(x+12)^6;(11*h + 6*t)*(x+12)^5;(8*h + 4*t)*(x+12)^4;(11*h + 15*t)*(x+12)^3;(16*h + 12*t)*(x+12)^2;(3*h + 9*t)*(x+12);(15*h + 15*t)
(h + t)*(x+12)^16;(15*h + 13*t)*(x+12)^15;(15*h + 16*t)*(x+12)^14;(7*h + 4*t)*(x+12)^13;(11*h + t)*(x+12)^12;(16*h + 13*t)*(x+12)^11;(10*h + 16*t)*(x+12)^10;(15*h + 4*t)*(x+12)^9;(5*h + t)*(x+12)^8;(12*h + 13*t)*(x+12)^7;(13*h + 16*t)*(x+12)^6;4*t*(x+12)^5;(12*h + t)*(x+12)^4;(9*h + 13*t)*(x+12)^3;(11*h + 16*t)*(x+12)^2;(12*h + 4*t)*(x+12);(13*h + t)
(h + 2*t)*(x+12)^16;(h + 8*t)*(x+12)^15;(5*h + 7*t)*(x+12)^14;(3*h + 15*t)*(x+12)^13;(9*h + 14*t)*(x+12)^12;(12*h + 16*t)*(x+12)^11;(h + t)*(x+12)^10;(6*h + 11*t)*(x+12)^9;11*h*(x+12)^8;(2*h + t)*(x+12)^7;8*t*(x+12)^6;(11*h + 10*t)*(x+12)^5;(3*h + 5*t)*(x+12)^4;(3*h + 11*t)*(x+12)^3;(10*h + 11*t)*(x+12)^2;(15*h + 13*t)*(x+12);(11*h + 16*t)
(h + 3*t)*(x+12)^16;(4*h + 3*t)*(x+12)^15;(12*h + 15*t)*(x+12)^14;(16*h + 9*t)*(x+12)^13;(7*h + 10*t)*(x+12)^12;(8*h + 2*t)*(x+12)^11;(9*h + 3*t)*(x+12)^10;(14*h + t)*(x+12)^9;16*t*(x+12)^8;(9*h + 6*t)*(x+12)^7;4*h*(x+12)^6;(5*h + 16*t)*(x+12)^5;(11*h + 9*t)*(x+12)^4;(14*h + 9*t)*(x+12)^3;(9*h + 6*t)*(x+12)^2;(h + 5*t)*(x+12);(9*h + 14*t)
(h + 4*t)*(x+12)^16;(7*h + 15*t)*(x+12)^15;(2*h + 6*t)*(x+12)^14;(12*h + 3*t)*(x+12)^13;(5*h + 6*t)*(x+12)^12;(4*h + 5*t)*(x+12)^11;5*t*(x+12)^10;(5*h + 8*t)*(x+12)^9;(6*h + 15*t)*(x+12)^8;(16*h + 11*t)*(x+12)^7;(8*h + 9*t)*(x+12)^6;(16*h + 5*t)*(x+12)^5;(2*h + 13*t)*(x+12)^4;(8*h + 7*t)*(x+12)^3;(8*h + t)*(x+12)^2;(4*h + 14*t)*(x+12);(7*h + 12*t)
(h + 5*t)*(x+12)^16;(10*h + 10*t)*(x+12)^15;(9*h + 14*t)*(x+12)^14;(8*h + 14*t)*(x+12)^13;(3*h + 2*t)*(x+12)^12;8*t*(x+12)^11;(8*h + 7*t)*(x+12)^10;(13*h + 15*t)*(x+12)^9;(12*h + 14*t)*(x+12)^8;(6*h + 16*t)*(x+12)^7;(12*h + t)*(x+12)^6;(10*h + 11*t)*(x+12)^5;10*h*(x+12)^4;(2*h + 5*t)*(x+12)^3;(7*h + 13*t)*(x+12)^2;(7*h + 6*t)*(x+12);(5*h + 10*t)
(h + 6*t)*(x+12)^16;(13*h + 5*t)*(x+12)^15;(16*h + 5*t)*(x+12)^14;(4*h + 8*t)*(x+12)^13;(h + 15*t)*(x+12)^12;(13*h + 11*t)*(x+12)^11;(16*h + 9*t)*(x+12)^10;(4*h + 5*t)*(x+12)^9;(h + 13*t)*(x+12)^8;(13*h + 4*t)*(x+12)^7;(16*h + 10*t)*(x+12)^6;4*h*(x+12)^5;(h + 4*t)*(x+12)^4;(13*h + 3*t)*(x+12)^3;(6*h + 8*t)*(x+12)^2;(10*h + 15*t)*(x+12);(3*h + 8*t)
(h + 7*t)*(x+12)^16;16*h*(x+12)^15;(6*h + 13*t)*(x+12)^14;2*t*(x+12)^13;(16*h + 11*t)*(x+12)^12;(9*h + 14*t)*(x+12)^11;(7*h + 11*t)*(x+12)^10;(12*h + 12*t)*(x+12)^9;(7*h + 12*t)*(x+12)^8;(3*h + 9*t)*(x+12)^7;(3*h + 2*t)*(x+12)^6;(15*h + 6*t)*(x+12)^5;(9*h + 8*t)*(x+12)^4;(7*h + t)*(x+12)^3;(5*h + 3*t)*(x+12)^2;(13*h + 7*t)*(x+12);(h + 6*t)
(h + 8*t)*(x+12)^16;(2*h + 12*t)*(x+12)^15;(13*h + 4*t)*(x+12)^14;(13*h + 13*t)*(x+12)^13;(14*h + 7*t)*(x+12)^12;5*h*(x+12)^11;(15*h + 13*t)*(x+12)^10;(3*h + 2*t)*(x+12)^9;(13*h + 11*t)*(x+12)^8;(10*h + 14*t)*(x+12)^7;(7*h + 11*t)*(x+12)^6;(9*h + 12*t)*(x+12)^5;12*t*(x+12)^4;(h + 16*t)*(x+12)^3;(4*h + 15*t)*(x+12)^2;(16*h + 16*t)*(x+12);(16*h + 4*t)
(h + 9*t)*(x+12)^16;(5*h + 7*t)*(x+12)^15;(3*h + 12*t)*(x+12)^14;(9*h + 7*t)*(x+12)^13;(12*h + 3*t)*(x+12)^12;(h + 3*t)*(x+12)^11;(6*h + 15*t)*(x+12)^10;(11*h + 9*t)*(x+12)^9;(2*h + 10*t)*(x+12)^8;2*t*(x+12)^7;(11*h + 3*t)*(x+12)^6;(3*h + t)*(x+12)^5;(8*h + 16*t)*(x+12)^4;(12*h + 14*t)*(x+12)^3;(3*h + 10*t)*(x+12)^2;(2*h + 8*t)*(x+12);(14*h + 2*t)
(h + 10*t)*(x+12)^16;(8*h + 2*t)*(x+12)^15;(10*h + 3*t)*(x+12)^14;(5*h + t)*(x+12)^13;(10*h + 16*t)*(x+12)^12;(14*h + 6*t)*(x+12)^11;14*h*(x+12)^10;(2*h + 16*t)*(x+12)^9;(8*h + 9*t)*(x+12)^8;(7*h + 7*t)*(x+12)^7;(15*h + 12*t)*(x+12)^6;(14*h + 7*t)*(x+12)^5;(16*h + 3*t)*(x+12)^4;(6*h + 12*t)*(x+12)^3;(2*h + 5*t)*(x+12)^2;5*h*(x+12);12*h
(h + 11*t)*(x+12)^16;(11*h + 14*t)*(x+12)^15;11*t*(x+12)^14;(h + 12*t)*(x+12)^13;(8*h + 12*t)*(x+12)^12;(10*h + 9*t)*(x+12)^11;(5*h + 2*t)*(x+12)^10;(10*h + 6*t)*(x+12)^9;(14*h + 8*t)*(x+12)^8;(14*h + 12*t)*(x+12)^7;(2*h + 4*t)*(x+12)^6;(8*h + 13*t)*(x+12)^5;(7*h + 7*t)*(x+12)^4;10*t*(x+12)^3;h*(x+12)^2;(8*h + 9*t)*(x+12);(10*h + 15*t)
(h + 12*t)*(x+12)^16;(14*h + 9*t)*(x+12)^15;(7*h + 2*t)*(x+12)^14;(14*h + 6*t)*(x+12)^13;(6*h + 8*t)*(x+12)^12;(6*h + 12*t)*(x+12)^11;(13*h + 4*t)*(x+12)^10;(h + 13*t)*(x+12)^9;(3*h + 7*t)*(x+12)^8;4*h*(x+12)^7;(6*h + 13*t)*(x+12)^6;(2*h + 2*t)*(x+12)^5;(15*h + 11*t)*(x+12)^4;(11*h + 8*t)*(x+12)^3;12*t*(x+12)^2;(11*h + t)*(x+12);(8*h + 13*t)
(h + 13*t)*(x+12)^16;4*t*(x+12)^15;(14*h + 10*t)*(x+12)^14;10*h*(x+12)^13;(4*h + 4*t)*(x+12)^12;(2*h + 15*t)*(x+12)^11;(4*h + 6*t)*(x+12)^10;(9*h + 3*t)*(x+12)^9;(9*h + 6*t)*(x+12)^8;(11*h + 5*t)*(x+12)^7;(10*h + 5*t)*(x+12)^6;(13*h + 8*t)*(x+12)^5;(6*h + 15*t)*(x+12)^4;(5*h + 6*t)*(x+12)^3;(16*h + 7*t)*(x+12)^2;(14*h + 10*t)*(x+12);(6*h + 11*t)
(h + 14*t)*(x+12)^16;(3*h + 16*t)*(x+12)^15;(4*h + t)*(x+12)^14;(6*h + 11*t)*(x+12)^13;2*h*(x+12)^12;(15*h + t)*(x+12)^11;(12*h + 8*t)*(x+12)^10;10*t*(x+12)^9;(15*h + 5*t)*(x+12)^8;(h + 10*t)*(x+12)^7;(14*h + 14*t)*(x+12)^6;(7*h + 14*t)*(x+12)^5;(14*h + 2*t)*(x+12)^4;(16*h + 4*t)*(x+12)^3;(15*h + 2*t)*(x+12)^2;2*t*(x+12);(4*h + 9*t)
(h + 15*t)*(x+12)^16;(6*h + 11*t)*(x+12)^15;(11*h + 9*t)*(x+12)^14;(2*h + 5*t)*(x+12)^13;13*t*(x+12)^12;(11*h + 4*t)*(x+12)^11;(3*h + 10*t)*(x+12)^10;8*h*(x+12)^9;(4*h + 4*t)*(x+12)^8;(8*h + 15*t)*(x+12)^7;(h + 6*t)*(x+12)^6;(h + 3*t)*(x+12)^5;(5*h + 6*t)*(x+12)^4;(10*h + 2*t)*(x+12)^3;(14*h + 14*t)*(x+12)^2;(3*h + 11*t)*(x+12);(2*h + 7*t)
(h + 16*t)*(x+12)^16;(9*h + 6*t)*(x+12)^15;h*(x+12)^14;(15*h + 16*t)*(x+12)^13;(15*h + 9*t)*(x+12)^12;(7*h + 7*t)*(x+12)^11;(11*h + 12*t)*(x+12)^10;(16*h + 7*t)*(x+12)^9;(10*h + 3*t)*(x+12)^8;(15*h + 3*t)*(x+12)^7;(5*h + 15*t)*(x+12)^6;(12*h + 9*t)*(x+12)^5;(13*h + 10*t)*(x+12)^4;4*h*(x+12)^3;(13*h + 9*t)*(x+12)^2;(6*h + 3*t)*(x+12);5*t

h*(x+13)^16;(13*h + t)*(x+13)^15;(16*h + 10*t)*(x+13)^14;(4*h + 3*t)*(x+13)^13;(h + 12*t)*(x+13)^12;(13*h + 16*t)*(x+13)^11;(16*h + 16*t)*(x+13)^10;(4*h + 2*t)*(x+13)^9;(h + 15*t)*(x+13)^8;(13*h + 7*t)*(x+13)^7;(16*h + 9*t)*(x+13)^6;(4*h + 6*t)*(x+13)^5;(h + 3*t)*(x+13)^4;(14*h + 8*t)*(x+13)^3;(10*h + 9*t)*(x+13)^2;(12*h + 16*t)*(x+13);(12*h + 6*t)
t*(x+13)^16;(3*h + 13*t)*(x+13)^15;(13*h + 16*t)*(x+13)^14;(9*h + 4*t)*(x+13)^13;(2*h + t)*(x+13)^12;(14*h + 13*t)*(x+13)^11;(14*h + 16*t)*(x+13)^10;(6*h + 4*t)*(x+13)^9;(11*h + t)*(x+13)^8;(4*h + 13*t)*(x+13)^7;(10*h + 16*t)*(x+13)^6;(h + 4*t)*(x+13)^5;(9*h + t)*(x+13)^4;(7*h + 14*t)*(x+13)^3;(14*h + 10*t)*(x+13)^2;(7*h + 12*t)*(x+13);(10*h + 12*t)
(h + t)*(x+13)^16;(16*h + 14*t)*(x+13)^15;(12*h + 9*t)*(x+13)^14;(13*h + 7*t)*(x+13)^13;(3*h + 13*t)*(x+13)^12;(10*h + 12*t)*(x+13)^11;(13*h + 15*t)*(x+13)^10;(10*h + 6*t)*(x+13)^9;(12*h + 16*t)*(x+13)^8;3*t*(x+13)^7;(9*h + 8*t)*(x+13)^6;(5*h + 10*t)*(x+13)^5;(10*h + 4*t)*(x+13)^4;(4*h + 5*t)*(x+13)^3;(7*h + 2*t)*(x+13)^2;(2*h + 11*t)*(x+13);(5*h + t)
